# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 7.5000e+01, 5.0000e+00, 1.0000e+00, 5.2021e+00
1, 2, 7.5000e+01, 1.0000e+01, 1.0000e+00, 2.7435e+00
1, 3, 7.5000e+01, 1.5000e+01, 1.0000e+00, 1.8599e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.4127e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.1453e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.6896e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.4515e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.5443e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.8598e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.3332e-01
